id,date_bce,date_sigma,register,genre,holdout,hbvi_holdout,in_training,n_words,frac_ani,rate_anochi,rate_ani,frac_she,rate_asher,frac_ein,rate_neg_al,frac_neg_al,rate_neg_lo,rate_ki,rate_gam,rate_lakhen,rate_hinne,rate_atta,rate_az,rate_af,rate_wayyiqtol,rate_qatal,rate_yiqtol,rate_ptca,rate_ptcp,rate_inf_abs,rate_inf_con,rate_impv,rate_jussive,rate_cohort,rate_qal,rate_hiphil,rate_piel,rate_niphal,rate_hithpael,rate_hophal,frac_baqash,rate_baqash,rate_shaal,frac_qahal,rate_hayah,rate_amar,rate_natan,rate_halak,rate_const,rate_prs,rate_pl_noun,rate_f_noun,frac_anachnu,rate_pen,rate_terem,rate_na,frac_halak_piel,frac_ysf_qal,frac_niphal,frac_yld_nif,frac_zaqaq,rate_ut_nouns,frac_nmcl,frac_fronted,frac_cpen,frac_ptcp_cl,frac_infc,frac_wqtl_wayq,rate_cpen_1k,frac_sv,frac_null_subj,frac_ov
Amos,760.0,20.0,SBH,prophecy,False,False,True,2780,0.09090909090909091,3.5971223021582737,0.3597122302158273,0.0,6.474820143884892,0.06578947368421052,5.0359712230215825,0.16470588235294117,25.53956834532374,9.35251798561151,1.079136690647482,2.5179856115107913,5.39568345323741,0.7194244604316546,0.0,0.7194244604316546,10.431654676258994,68.3453237410072,48.201438848920866,28.77697841726619,1.079136690647482,1.7985611510791368,15.107913669064748,15.467625899280575,0.0,0.0,125.89928057553956,35.97122302158273,12.23021582733813,13.30935251798561,1.079136690647482,0.3597122302158273,1.0,0.3597122302158273,0.0,,3.5971223021582737,18.70503597122302,1.4388489208633093,3.237410071942446,82.37410071942446,82.37410071942446,68.70503597122301,64.02877697841726,,0.3597122302158273,0.0,0.7194244604316546,0.0,0.0,0.07034220532319392,,,1.7985611510791368,0.10669077757685352,0.30018083182640143,0.012658227848101266,0.09403254972875226,0.0759493670886076,0.7928571428571428,2.5179856115107913,0.265625,0.6513994910941476,0.16666666666666666
Hosea,745.0,25.0,SBH,prophecy,False,False,True,3146,0.5217391304347826,3.4965034965034967,3.814367450731087,0.0,3.814367450731087,0.189873417721519,9.535918626827717,0.3191489361702128,20.3432930705658,21.93261284170375,3.814367450731087,1.2714558169103625,0.9535918626827717,3.814367450731087,0.3178639542275906,1.2714558169103625,13.986013986013987,74.06230133502861,82.96249205340115,20.025429116338206,3.814367450731087,3.4965034965034967,9.853782581055308,10.80737444373808,0.0,0.0,152.57469802924348,25.746980292434838,23.839796567069293,10.80737444373808,1.589319771137953,1.2714558169103625,0.8333333333333334,1.589319771137953,0.3178639542275906,0.0,8.582326764144947,6.993006993006993,3.814367450731087,6.993006993006993,64.5263827082009,148.4424666242848,72.47298156389064,51.176096630642085,,0.3178639542275906,0.0,0.0,0.0,0.0,0.04934687953555878,0.14285714285714285,,2.860775588048315,0.14248366013071895,0.3503267973856209,0.02091503267973856,0.050980392156862744,0.0392156862745098,0.6615384615384615,5.08582326764145,0.4533333333333333,0.702276707530648,0.24404761904761904
Micah,725.0,25.0,SBH,prophecy,False,False,True,1895,0.6666666666666666,0.5277044854881267,1.0554089709762533,0.0,8.443271767810026,0.16666666666666666,3.6939313984168862,0.1891891891891892,15.8311345646438,17.41424802110818,0.5277044854881267,3.1662269129287597,1.0554089709762533,4.221635883905013,0.5277044854881267,1.0554089709762533,3.6939313984168862,60.15831134564644,77.04485488126649,37.46701846965699,1.5831134564643798,3.1662269129287597,7.9155672823219,13.720316622691293,0.0,0.0,142.4802110817942,31.13456464379947,16.886543535620053,10.026385224274406,2.638522427440633,1.0554089709762533,0.0,0.0,0.5277044854881267,1.0,10.026385224274406,5.277044854881266,3.6939313984168862,6.332453825857519,83.90501319261213,116.62269129287598,79.155672823219,65.96306068601584,1.0,0.0,0.0,2.1108179419525066,0.0,,0.04896907216494845,0.0,,1.5831134564643798,0.11704834605597965,0.356234096692112,0.017811704834605598,0.08396946564885496,0.03816793893129771,0.9027777777777778,3.6939313984168862,0.43243243243243246,0.7294520547945206,0.2087912087912088
Zephaniah,630.0,20.0,SBH,prophecy,False,False,True,1037,1.0,0.0,1.9286403085824495,0.0,5.785920925747349,0.10714285714285714,2.8929604628736745,0.10714285714285714,24.108003857280618,16.393442622950822,4.821600771456123,1.9286403085824495,0.9643201542912248,0.0,1.9286403085824495,3.857280617164899,1.9286403085824495,61.716489874638384,52.07328833172613,39.537126325940214,1.9286403085824495,2.8929604628736745,10.607521697203472,11.571841851494698,0.0,0.0,109.93249758919961,27.000964320154292,20.25072324011572,20.25072324011572,0.9643201542912248,0.0,1.0,3.857280617164899,0.0,,10.607521697203472,4.821600771456123,1.9286403085824495,0.9643201542912248,114.75409836065575,94.50337512054003,62.6808100289296,69.43105110896818,,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,,2.8929604628736745,0.1782178217821782,0.3316831683168317,0.0,0.11386138613861387,0.054455445544554455,0.9310344827586207,0.0,0.3142857142857143,0.7045454545454546,0.10869565217391304
Nahum,650.0,25.0,SBH,prophecy,False,False,True,746,,0.0,0.0,0.0,2.680965147453083,0.4375,4.021447721179625,0.25,12.064343163538874,8.04289544235925,5.361930294906166,0.0,5.361930294906166,1.3404825737265416,0.0,2.680965147453083,5.361930294906166,76.40750670241286,48.257372654155496,60.32171581769437,6.702412868632708,8.04289544235925,2.680965147453083,17.426273458445042,0.0,0.0,113.94101876675605,21.447721179624665,41.55495978552279,22.78820375335121,6.702412868632708,5.361930294906166,1.0,2.680965147453083,0.0,,4.021447721179625,2.680965147453083,0.0,2.680965147453083,85.79088471849866,132.70777479892763,95.17426273458445,76.40750670241286,,0.0,0.0,0.0,0.0,0.0,0.10119047619047619,,,0.0,0.2553191489361702,0.26063829787234044,0.015957446808510637,0.13297872340425532,0.010638297872340425,0.8461538461538461,4.021447721179625,0.5111111111111111,0.5636363636363636,0.24242424242424243
Habakkuk,605.0,20.0,SBH,prophecy,False,True,True,897,1.0,0.0,1.1148272017837235,0.0,3.3444816053511706,0.125,4.459308807134894,0.16,23.41137123745819,17.837235228539576,1.1148272017837235,0.0,4.459308807134894,0.0,1.1148272017837235,2.229654403567447,16.72240802675585,49.05239687848383,90.3010033444816,31.21516164994426,2.229654403567447,3.3444816053511706,20.066889632107024,14.492753623188406,0.0,0.0,151.6164994425864,31.21516164994426,28.985507246376812,6.688963210702341,5.574136008918618,0.0,,0.0,0.0,,3.3444816053511706,3.3444816053511706,1.1148272017837235,3.3444816053511706,59.08584169453734,128.2051282051282,74.69342251950947,68.00445930880714,,0.0,0.0,0.0,0.3333333333333333,,0.029411764705882353,,,1.1148272017837235,0.16017316017316016,0.3116883116883117,0.017316017316017316,0.08225108225108226,0.07792207792207792,0.3181818181818182,4.459308807134894,0.3695652173913043,0.6578947368421053,0.1891891891891892
Lamentations,570.0,50.0,Transitional,poetry,False,False,True,1945,1.0,0.0,2.056555269922879,0.3076923076923077,4.627249357326479,0.22,5.655526992287918,0.22,20.051413881748072,14.395886889460154,3.084832904884319,0.0,0.0,0.0,0.0,5.655526992287918,14.910025706940875,134.19023136246784,41.6452442159383,29.30591259640103,2.056555269922879,3.084832904884319,10.282776349614394,14.910025706940875,0.0,0.0,165.55269922879177,32.904884318766065,33.419023136246786,12.339331619537276,3.084832904884319,1.0282776349614395,0.6666666666666666,1.0282776349614395,0.5141388174807198,1.0,11.825192802056554,5.141388174807197,4.627249357326479,3.084832904884319,90.48843187660668,174.29305912596402,93.05912596401028,92.54498714652956,0.5,0.0,0.0,1.0282776349614395,0.16666666666666666,0.0,0.049281314168377825,,,2.056555269922879,0.09795918367346938,0.3489795918367347,0.004081632653061225,0.04285714285714286,0.03877551020408163,0.2926829268292683,1.0282776349614395,0.34959349593495936,0.67,0.15555555555555556
Ezekiel,580.0,20.0,Transitional,prophecy,False,False,True,26182,0.9941176470588236,0.03819417920708884,6.454816285998014,0.0,13.024215109617295,0.06521739130434782,19.173477961958596,0.5933806146572104,13.13879764723856,7.715224199831946,1.1076311970055763,2.406233290046597,4.392330608815217,0.3055534336567107,0.03819417920708884,0.5729126881063327,19.593613933236576,65.31204644412192,33.190741730960205,17.225574822397068,3.055534336567107,1.3749904514551983,16.843633030326178,8.784661217630434,0.0,0.0,116.07211061034299,18.676953632266443,14.17004048582996,12.718661675960584,0.9930486593843098,1.3749904514551983,0.9090909090909091,0.38194179207088835,0.03819417920708884,1.0,12.871438392788939,13.864487052173248,7.944389275074478,2.5590100068749524,90.48201054159347,125.12413108242303,77.95431976166832,85.21121381101521,1.0,0.0,0.0,0.19097089603544418,0.014925373134328358,0.0,0.07690531177829099,0.0,,3.7048353830876173,0.19200930954228085,0.28665632273079905,0.022885958107059737,0.05876648564778898,0.08223429014740109,0.6493506493506493,4.506913146436483,0.3600944510035419,0.7318994244168434,0.23255813953488372
Obadiah,585.0,80.0,Transitional,prophecy,False,False,True,392,,0.0,0.0,0.0,10.204081632653061,0.16666666666666666,0.0,0.0,12.755102040816327,7.653061224489796,5.1020408163265305,0.0,2.5510204081632653,0.0,0.0,0.0,0.0,86.73469387755102,58.673469387755105,12.755102040816327,5.1020408163265305,0.0,15.306122448979592,2.5510204081632653,0.0,0.0,127.55102040816327,28.06122448979592,7.653061224489796,15.306122448979592,0.0,0.0,,0.0,0.0,,17.857142857142858,5.1020408163265305,2.5510204081632653,0.0,117.34693877551021,119.89795918367346,51.02040816326531,43.36734693877551,,0.0,0.0,0.0,,,0.08450704225352113,,,7.653061224489796,0.10666666666666667,0.4666666666666667,0.0,0.05333333333333334,0.06666666666666667,1.0,0.0,0.34782608695652173,0.5344827586206896,0.08333333333333333
Joel,400.0,150.0,Transitional,prophecy,False,False,True,1318,1.0,0.0,3.0349013657056148,0.0,9.104704097116844,0.2,9.104704097116844,0.5,9.104704097116844,24.279210925644918,5.311077389984826,0.0,2.276176024279211,0.7587253414264037,0.0,0.7587253414264037,5.311077389984826,76.63125948406676,46.28224582701062,18.20940819423369,3.7936267071320184,2.276176024279211,5.311077389984826,32.62518968133536,0.0,0.0,127.4658573596358,25.796661608497722,18.96813353566009,14.415781487101668,0.0,0.7587253414264037,,0.0,0.0,1.0,8.345978755690439,3.7936267071320184,6.0698027314112295,3.0349013657056148,73.59635811836115,97.11684370257967,96.35811836115326,58.42185128983308,,0.0,0.0,0.0,0.0,0.0,0.07569721115537849,,,2.276176024279211,0.12781954887218044,0.34962406015037595,0.0,0.04887218045112782,0.02631578947368421,0.8372093023255814,0.0,0.3793103448275862,0.5849056603773585,0.17647058823529413
